Nearest Neighbor:
Run 0:
    Classified ', 1.515740, 13.389999, 3.143000, 1.253000, 71.489998, 0.000000, 8.658000, 0.000000, 0.000000' as '3', actual class: '3'
    Classified ', 1.515740, 13.389999, 3.592000, 1.253000, 72.610001, 0.000000, 7.582000, 0.000000, 0.000000' as '3', actual class: '1'
    Classified ', 1.518010, 14.719999, 0.449000, 1.574000, 72.050003, 0.000000, 9.733999, 0.000000, 0.000000' as '7', actual class: '6'
    Classified ', 1.518010, 12.724999, 3.592000, 0.932000, 72.050003, 0.000000, 8.658000, 0.000000, 0.306000' as '1', actual class: '2'
    Classified ', 1.518010, 14.054999, 1.796000, 1.574000, 72.610001, 0.000000, 8.658000, 0.000000, 0.000000' as '6', actual class: '6'
    Classified ', 1.515740, 12.059999, 2.694000, 1.574000, 72.610001, 0.621000, 8.658000, 0.000000, 0.000000' as '2', actual class: '2'
    Classified ', 1.518010, 13.389999, 3.143000, 1.253000, 71.489998, 0.000000, 8.658000, 0.000000, 0.000000' as '3', actual class: '1'
    Classified ', 1.513470, 12.724999, 3.143000, 1.253000, 73.169998, 0.000000, 7.582000, 0.000000, 0.000000' as '1', actual class: '2'
    Classified ', 1.518010, 12.724999, 3.592000, 0.932000, 72.610001, 0.000000, 7.582000, 0.000000, 0.102000' as '2', actual class: '2'
    Classified ', 1.518010, 12.059999, 0.000000, 1.574000, 73.730003, 0.000000, 10.809999, 0.000000, 0.000000' as '5', actual class: '5'
    Classified ', 1.515740, 12.724999, 3.143000, 0.932000, 72.610001, 0.000000, 8.658000, 0.000000, 0.204000' as '2', actual class: '2'
    Classified ', 1.515740, 12.724999, 3.143000, 1.253000, 72.610001, 0.621000, 7.582000, 0.000000, 0.204000' as '2', actual class: '2'
    Classified ', 1.515740, 12.724999, 3.143000, 0.932000, 72.610001, 0.000000, 7.582000, 0.000000, 0.204000' as '2', actual class: '1'
    Classified ', 1.520280, 12.724999, 3.143000, 0.611000, 72.050003, 0.000000, 9.733999, 0.000000, 0.153000' as '1', actual class: '1'
    Classified ', 1.515740, 13.389999, 3.143000, 0.932000, 72.610001, 0.621000, 7.582000, 0.000000, 0.000000' as '2', actual class: '2'
    Classified ', 1.515740, 12.724999, 3.143000, 1.574000, 72.610001, 0.621000, 7.582000, 0.000000, 0.000000' as '2', actual class: '2'
    Classified ', 1.515740, 13.389999, 3.592000, 0.932000, 72.610001, 0.000000, 7.582000, 0.000000, 0.000000' as '3', actual class: '3'
    Classified ', 1.515740, 14.054999, 0.000000, 2.537000, 72.610001, 0.000000, 8.658000, 0.315000, 0.000000' as '7', actual class: '7'
    Classified ', 1.520280, 14.054999, 3.592000, 0.611000, 71.489998, 0.000000, 8.658000, 0.000000, 0.000000' as '1', actual class: '3'
    Classified ', 1.520280, 14.054999, 3.592000, 0.611000, 70.930000, 0.000000, 8.658000, 0.000000, 0.000000' as '1', actual class: '1'
    Classified ', 1.518010, 13.389999, 3.143000, 1.253000, 72.050003, 0.000000, 7.582000, 0.000000, 0.000000' as '2', actual class: '1'
Accuracy: 61.9048%
Run 1:
    Classified ', 1.524820, 13.389999, 3.592000, 0.611000, 71.489998, 0.000000, 9.733999, 0.000000, 0.051000' as '1', actual class: '1'
    Classified ', 1.518010, 12.724999, 3.143000, 1.253000, 72.050003, 0.000000, 8.658000, 0.000000, 0.000000' as '2', actual class: '3'
    Classified ', 1.515740, 12.059999, 3.143000, 1.253000, 72.610001, 0.000000, 8.658000, 0.000000, 0.000000' as '3', actual class: '1'
    Classified ', 1.522550, 13.389999, 2.694000, 0.932000, 70.930000, 0.000000, 9.733999, 0.000000, 0.000000' as '1', actual class: '2'
    Classified ', 1.515740, 12.724999, 3.592000, 0.932000, 73.169998, 0.000000, 7.582000, 0.000000, 0.000000' as '1', actual class: '1'
    Classified ', 1.524820, 10.730000, 0.000000, 0.611000, 73.169998, 0.000000, 14.038000, 0.000000, 0.000000' as '2', actual class: '2'
    Classified ', 1.515740, 12.059999, 3.143000, 1.253000, 73.169998, 0.621000, 7.582000, 0.000000, 0.000000' as '2', actual class: '2'
    Classified ', 1.522550, 13.389999, 3.143000, 0.932000, 72.050003, 0.000000, 8.658000, 0.000000, 0.000000' as '3', actual class: '7'
    Classified ', 1.518010, 13.389999, 3.592000, 1.253000, 72.050003, 0.000000, 7.582000, 0.000000, 0.000000' as '2', actual class: '2'
    Classified ', 1.515740, 12.724999, 3.592000, 1.253000, 72.050003, 0.000000, 7.582000, 0.000000, 0.255000' as '2', actual class: '2'
    Classified ', 1.522550, 13.389999, 0.000000, 1.574000, 72.050003, 0.000000, 11.886000, 0.000000, 0.000000' as '5', actual class: '5'
    Classified ', 1.511200, 12.724999, 0.000000, 2.858000, 70.369995, 5.589000, 6.506000, 0.000000, 0.000000' as '6', actual class: '5'
    Classified ', 1.515740, 12.724999, 3.592000, 1.253000, 72.610001, 0.000000, 7.582000, 0.000000, 0.000000' as '2', actual class: '2'
    Classified ', 1.518010, 13.389999, 3.592000, 1.253000, 72.050003, 0.000000, 7.582000, 0.000000, 0.102000' as '2', actual class: '2'
    Classified ', 1.515740, 13.389999, 3.592000, 0.932000, 72.610001, 0.000000, 7.582000, 0.000000, 0.000000' as '3', actual class: '1'
    Classified ', 1.515740, 13.389999, 3.143000, 1.574000, 72.050003, 0.000000, 7.582000, 0.000000, 0.000000' as '3', actual class: '2'
    Classified ', 1.513470, 13.389999, 2.245000, 3.179000, 69.809998, 1.242000, 5.430000, 1.890000, 0.000000' as '7', actual class: '5'
